ksic_code,ksic_name,kapp_industry_tag,industry_label_ko,primary_jf_code,secondary_jf_codes,ib_scenario_key,mapping_method,review_status
10122,육류 포장육 및 냉동육 가공업 (가금류 제외),MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10129,육류 기타 가공 및 저장처리업 (가금류 제외),MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10211,"수산동물 훈제, 조리 및 유사 조제식품 제조업",MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10212,수산동물 건조 및 염장품 제조업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10213,수산동물 냉동품 제조업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10219,기타 수산동물 가공 및 저장 처리업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10220,수산식물 가공 및 저장 처리업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10301,김치류 제조업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10302,과실 및 그 외 채소 절임식품 제조업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10309,기타 과실ㆍ채소 가공 및 저장 처리업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10411,동물성 유지 제조업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10412,식물성 유지 제조업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10413,식용 정제유 및 가공유 제조업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10421,액상시유 및 기타 낙농제품 제조업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10422,아이스크림 및 기타 식용빙과류 제조업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10511,곡물 도정업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10512,곡물 제분업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10513,곡물 혼합분말 및 반죽 제조업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10519,기타 곡물 가공품 제조업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10520,전분제품 및 당류 제조업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10601,떡류 제조업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10602,빵류 제조업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10603,과자류 및 코코아 제품 제조업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10701,도시락류 제조업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10709,기타 식사용 가공처리 조리식품 제조업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10810,설탕 제조업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10820,"면류, 마카로니 및 유사식품 제조업",MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10831,"식초, 발효 및 화학 조미료 제조업",MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10832,천연 및 혼합조제 조미료 제조업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10833,장류 제조업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10839,기타 식품 첨가물 제조업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10891,커피 가공업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
