code,name,name_official,name_clean,level,level_num,is_leaf,parent_code,major_code,middle_code,minor_code,detail_code,subdetail_code,major_name,middle_name,minor_name,detail_name,subdetail_name,major_name_filled,path_codes,path_names,kapp_industry_tag,industry_label_ko,diagnostic_unit,is_demo_target,context_level,excluded_flag,ncs_unit_code,ksco_code,keco_code,onet_soc_code,wage_survey_code,benchmark_group,benchmark_avg_K,benchmark_avg_A,benchmark_avg_P1,benchmark_avg_P2,benchmark_p10_total,key_skills,skill_industry_avg,career_path_mid,career_path_far
10,식료품 제조업,식료품 제조업,식료품 제조업,middle,2,False,C,1,10.0,,,,제조업,식료품 제조업,,,,제조업,1/10, / 식료품 제조업,MANUFACTURING,제조업,False,True,context_group,False,,,,,,,,,,,,,,,
11,음료 제조업,음료 제조업,음료 제조업,middle,2,False,C,1,11.0,,,,제조업,음료 제조업,,,,제조업,1/11, / 음료 제조업,MANUFACTURING,제조업,False,True,context_group,False,,,,,,,,,,,,,,,
12,담배 제조업,담배 제조업,담배 제조업,middle,2,False,C,1,12.0,,,,제조업,담배 제조업,,,,제조업,1/12, / 담배 제조업,MANUFACTURING,제조업,False,True,context_group,False,,,,,,,,,,,,,,,
13,"섬유제품 제조업, 의복 제외",섬유제품 제조업; 의복 제외,"섬유제품 제조업, 의복 제외",middle,2,False,C,1,13.0,,,,제조업,"섬유제품 제조업, 의복 제외",,,,제조업,1/13," / 섬유제품 제조업, 의복 제외",MANUFACTURING,제조업,False,True,context_group,False,,,,,,,,,,,,,,,
14,"의복, 의복 액세서리 및 모피제품 제조업","의복, 의복 액세서리 및 모피제품 제조업","의복, 의복 액세서리 및 모피제품 제조업",middle,2,False,C,1,14.0,,,,제조업,"의복, 의복 액세서리 및 모피제품 제조업",,,,제조업,1/14," / 의복, 의복 액세서리 및 모피제품 제조업",MANUFACTURING,제조업,False,True,context_group,False,,,,,,,,,,,,,,,
15,"가죽, 가방 및 신발 제조업","가죽, 가방 및 신발 제조업","가죽, 가방 및 신발 제조업",middle,2,False,C,1,15.0,,,,제조업,"가죽, 가방 및 신발 제조업",,,,제조업,1/15," / 가죽, 가방 및 신발 제조업",MANUFACTURING,제조업,False,True,context_group,False,,,,,,,,,,,,,,,
16,"목재 및 나무제품 제조업, 가구 제외",목재 및 나무제품 제조업; 가구 제외,"목재 및 나무제품 제조업, 가구 제외",middle,2,False,C,1,16.0,,,,제조업,"목재 및 나무제품 제조업, 가구 제외",,,,제조업,1/16," / 목재 및 나무제품 제조업, 가구 제외",MANUFACTURING,제조업,False,True,context_group,False,,,,,,,,,,,,,,,
17,"펄프, 종이 및 종이제품 제조업","펄프, 종이 및 종이제품 제조업","펄프, 종이 및 종이제품 제조업",middle,2,False,C,1,17.0,,,,제조업,"펄프, 종이 및 종이제품 제조업",,,,제조업,1/17," / 펄프, 종이 및 종이제품 제조업",MANUFACTURING,제조업,False,True,context_group,False,,,,,,,,,,,,,,,
18,인쇄 및 기록매체 복제업,인쇄 및 기록매체 복제업,인쇄 및 기록매체 복제업,middle,2,False,C,1,18.0,,,,제조업,인쇄 및 기록매체 복제업,,,,제조업,1/18, / 인쇄 및 기록매체 복제업,MANUFACTURING,제조업,False,True,context_group,False,,,,,,,,,,,,,,,
19,"코크스, 연탄 및 석유정제품 제조업","코크스, 연탄 및 석유정제품 제조업","코크스, 연탄 및 석유정제품 제조업",middle,2,False,C,1,19.0,,,,제조업,"코크스, 연탄 및 석유정제품 제조업",,,,제조업,1/19," / 코크스, 연탄 및 석유정제품 제조업",MANUFACTURING,제조업,False,True,context_group,False,,,,,,,,,,,,,,,
20,"화학 물질 및 화학제품 제조업, 의약품 제외",화학 물질 및 화학제품 제조업; 의약품 제외,"화학 물질 및 화학제품 제조업, 의약품 제외",middle,2,False,C,2,20.0,,,,제조업,"화학 물질 및 화학제품 제조업, 의약품 제외",,,,제조업,2/20," / 화학 물질 및 화학제품 제조업, 의약품 제외",MANUFACTURING,제조업,False,True,context_group,False,,,,,,,,,,,,,,,
21,의료용 물질 및 의약품 제조업,의료용 물질 및 의약품 제조업,의료용 물질 및 의약품 제조업,middle,2,False,C,2,21.0,,,,제조업,의료용 물질 및 의약품 제조업,,,,제조업,2/21, / 의료용 물질 및 의약품 제조업,MANUFACTURING,제조업,False,True,context_group,False,,,,,,,,,,,,,,,
22,고무 및 플라스틱제품 제조업,고무 및 플라스틱제품 제조업,고무 및 플라스틱제품 제조업,middle,2,False,C,2,22.0,,,,제조업,고무 및 플라스틱제품 제조업,,,,제조업,2/22, / 고무 및 플라스틱제품 제조업,MANUFACTURING,제조업,False,True,context_group,False,,,,,,,,,,,,,,,
23,비금속 광물제품 제조업,비금속 광물제품 제조업,비금속 광물제품 제조업,middle,2,False,C,2,23.0,,,,제조업,비금속 광물제품 제조업,,,,제조업,2/23, / 비금속 광물제품 제조업,MANUFACTURING,제조업,False,True,context_group,False,,,,,,,,,,,,,,,
24,1차 금속 제조업,1차 금속 제조업,1차 금속 제조업,middle,2,False,C,2,24.0,,,,제조업,1차 금속 제조업,,,,제조업,2/24, / 1차 금속 제조업,MANUFACTURING,제조업,False,True,context_group,False,,,,,,,,,,,,,,,
25,"금속 가공제품 제조업, 기계 및 가구 제외",금속 가공제품 제조업; 기계 및 가구 제외,"금속 가공제품 제조업, 기계 및 가구 제외",middle,2,False,C,2,25.0,,,,제조업,"금속 가공제품 제조업, 기계 및 가구 제외",,,,제조업,2/25," / 금속 가공제품 제조업, 기계 및 가구 제외",MANUFACTURING,제조업,False,True,context_group,False,,,,,,,,,,,,,,,
26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업","전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업","전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",middle,2,False,C,2,26.0,,,,제조업,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,제조업,2/26," / 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",MANUFACTURING,제조업,False,True,context_group,False,,,,,,,,,,,,,,,
27,"의료, 정밀, 광학 기기 및 시계 제조업","의료, 정밀, 광학 기기 및 시계 제조업","의료, 정밀, 광학 기기 및 시계 제조업",middle,2,False,C,2,27.0,,,,제조업,"의료, 정밀, 광학 기기 및 시계 제조업",,,,제조업,2/27," / 의료, 정밀, 광학 기기 및 시계 제조업",MANUFACTURING,제조업,False,True,context_group,False,,,,,,,,,,,,,,,
28,전기장비 제조업,전기장비 제조업,전기장비 제조업,middle,2,False,C,2,28.0,,,,제조업,전기장비 제조업,,,,제조업,2/28, / 전기장비 제조업,MANUFACTURING,제조업,False,True,context_group,False,,,,,,,,,,,,,,,
29,기타 기계 및 장비 제조업,기타 기계 및 장비 제조업,기타 기계 및 장비 제조업,middle,2,False,C,2,29.0,,,,제조업,기타 기계 및 장비 제조업,,,,제조업,2/29, / 기타 기계 및 장비 제조업,MANUFACTURING,제조업,False,True,context_group,False,,,,,,,,,,,,,,,
30,자동차 및 트레일러 제조업,자동차 및 트레일러 제조업,자동차 및 트레일러 제조업,middle,2,False,C,3,30.0,,,,제조업,자동차 및 트레일러 제조업,,,,제조업,3/30, / 자동차 및 트레일러 제조업,MANUFACTURING,제조업,False,True,context_group,False,,,,,,,,,,,,,,,
31,기타 운송장비 제조업,기타 운송장비 제조업,기타 운송장비 제조업,middle,2,False,C,3,31.0,,,,제조업,기타 운송장비 제조업,,,,제조업,3/31, / 기타 운송장비 제조업,MANUFACTURING,제조업,False,True,context_group,False,,,,,,,,,,,,,,,
32,가구 제조업,가구 제조업,가구 제조업,middle,2,False,C,3,32.0,,,,제조업,가구 제조업,,,,제조업,3/32, / 가구 제조업,MANUFACTURING,제조업,False,True,context_group,False,,,,,,,,,,,,,,,
33,기타 제품 제조업,기타 제품 제조업,기타 제품 제조업,middle,2,False,C,3,33.0,,,,제조업,기타 제품 제조업,,,,제조업,3/33, / 기타 제품 제조업,MANUFACTURING,제조업,False,True,context_group,False,,,,,,,,,,,,,,,
34,산업용 기계 및 장비 수리업,산업용 기계 및 장비 수리업,산업용 기계 및 장비 수리업,middle,2,False,C,3,34.0,,,,제조업,산업용 기계 및 장비 수리업,,,,제조업,3/34, / 산업용 기계 및 장비 수리업,MANUFACTURING,제조업,False,True,context_group,False,,,,,,,,,,,,,,,
35,"전기, 가스, 증기 및 공기 조절 공급업","전기, 가스, 증기 및 공기 조절 공급업","전기, 가스, 증기 및 공기 조절 공급업",middle,2,False,D,3,35.0,,,,"전기, 가스, 증기 및 공기 조절 공급업","전기, 가스, 증기 및 공기 조절 공급업",,,,"전기, 가스, 증기 및 공기 조절 공급업",3/35," / 전기, 가스, 증기 및 공기 조절 공급업",ENERGY,전기·가스·에너지,False,False,context_group,False,,,,,,,,,,,,,,,
36,수도업,수도업,수도업,middle,2,False,E,3,36.0,,,,"수도, 하수 및 폐기물 처리, 원료 재생업",수도업,,,,"수도, 하수 및 폐기물 처리, 원료 재생업",3/36, / 수도업,ENVIRONMENT,환경·폐기물 처리,False,False,context_group,False,,,,,,,,,,,,,,,
37,"하수, 폐수 및 분뇨 처리업","하수, 폐수 및 분뇨 처리업","하수, 폐수 및 분뇨 처리업",middle,2,False,E,3,37.0,,,,"수도, 하수 및 폐기물 처리, 원료 재생업","하수, 폐수 및 분뇨 처리업",,,,"수도, 하수 및 폐기물 처리, 원료 재생업",3/37," / 하수, 폐수 및 분뇨 처리업",ENVIRONMENT,환경·폐기물 처리,False,False,context_group,False,,,,,,,,,,,,,,,
38,"폐기물 수집, 운반, 처리 및 원료 재생업","폐기물 수집, 운반, 처리 및 원료 재생업","폐기물 수집, 운반, 처리 및 원료 재생업",middle,2,False,E,3,38.0,,,,"수도, 하수 및 폐기물 처리, 원료 재생업","폐기물 수집, 운반, 처리 및 원료 재생업",,,,"수도, 하수 및 폐기물 처리, 원료 재생업",3/38," / 폐기물 수집, 운반, 처리 및 원료 재생업",ENVIRONMENT,환경·폐기물 처리,False,False,context_group,False,,,,,,,,,,,,,,,
39,환경 정화 및 복원업,환경 정화 및 복원업,환경 정화 및 복원업,middle,2,False,E,3,39.0,,,,"수도, 하수 및 폐기물 처리, 원료 재생업",환경 정화 및 복원업,,,,"수도, 하수 및 폐기물 처리, 원료 재생업",3/39, / 환경 정화 및 복원업,ENVIRONMENT,환경·폐기물 처리,False,False,context_group,False,,,,,,,,,,,,,,,
41,종합 건설업,종합 건설업,종합 건설업,middle,2,False,F,4,41.0,,,,건설업,종합 건설업,,,,건설업,4/41, / 종합 건설업,CONSTRUCTION,건설·부동산,False,False,context_group,False,,,,,,,,,,,,,,,
42,전문직별 공사업,전문직별 공사업,전문직별 공사업,middle,2,False,F,4,42.0,,,,건설업,전문직별 공사업,,,,건설업,4/42, / 전문직별 공사업,CONSTRUCTION,건설·부동산,False,False,context_group,False,,,,,,,,,,,,,,,
45,자동차 및 부품 판매업,자동차 및 부품 판매업,자동차 및 부품 판매업,middle,2,False,G,4,45.0,,,,도매 및 소매업,자동차 및 부품 판매업,,,,도매 및 소매업,4/45, / 자동차 및 부품 판매업,RETAIL_TRADE,도매·소매업,False,True,context_group,False,,,,,,,,,,,,,,,
46,도매 및 상품 중개업,도매 및 상품 중개업,도매 및 상품 중개업,middle,2,False,G,4,46.0,,,,도매 및 소매업,도매 및 상품 중개업,,,,도매 및 소매업,4/46, / 도매 및 상품 중개업,RETAIL_TRADE,도매·소매업,False,True,context_group,False,,,,,,,,,,,,,,,
47,"소매업, 자동차 제외",소매업; 자동차 제외,"소매업, 자동차 제외",middle,2,False,G,4,47.0,,,,도매 및 소매업,"소매업, 자동차 제외",,,,도매 및 소매업,4/47," / 소매업, 자동차 제외",RETAIL_TRADE,도매·소매업,False,True,context_group,False,,,,,,,,,,,,,,,
49,육상 운송 및 파이프라인 운송업,육상 운송 및 파이프라인 운송업,육상 운송 및 파이프라인 운송업,middle,2,False,H,4,49.0,,,,운수 및 창고업,육상 운송 및 파이프라인 운송업,,,,운수 및 창고업,4/49, / 육상 운송 및 파이프라인 운송업,LOGISTICS,운수·창고업,False,False,context_group,False,,,,,,,,,,,,,,,
50,수상 운송업,수상 운송업,수상 운송업,middle,2,False,H,5,50.0,,,,운수 및 창고업,수상 운송업,,,,운수 및 창고업,5/50, / 수상 운송업,LOGISTICS,운수·창고업,False,False,context_group,False,,,,,,,,,,,,,,,
51,항공 운송업,항공 운송업,항공 운송업,middle,2,False,H,5,51.0,,,,운수 및 창고업,항공 운송업,,,,운수 및 창고업,5/51, / 항공 운송업,LOGISTICS,운수·창고업,False,False,context_group,False,,,,,,,,,,,,,,,
52,창고 및 운송관련 서비스업,창고 및 운송관련 서비스업,창고 및 운송관련 서비스업,middle,2,False,H,5,52.0,,,,운수 및 창고업,창고 및 운송관련 서비스업,,,,운수 및 창고업,5/52, / 창고 및 운송관련 서비스업,LOGISTICS,운수·창고업,False,False,context_group,False,,,,,,,,,,,,,,,
55,숙박업,숙박업,숙박업,middle,2,False,I,5,55.0,,,,숙박 및 음식점업,숙박업,,,,숙박 및 음식점업,5/55, / 숙박업,HOSPITALITY,숙박·음식·여행,False,False,context_group,False,,,,,,,,,,,,,,,
56,음식점 및 주점업,음식점 및 주점업,음식점 및 주점업,middle,2,False,I,5,56.0,,,,숙박 및 음식점업,음식점 및 주점업,,,,숙박 및 음식점업,5/56, / 음식점 및 주점업,HOSPITALITY,숙박·음식·여행,False,False,context_group,False,,,,,,,,,,,,,,,
58,출판업,출판업,출판업,middle,2,False,J,5,58.0,,,,정보통신업,출판업,,,,정보통신업,5/58, / 출판업,IT_TECH,정보통신업 (IT),False,True,context_group,False,,,,,,,,,,,,,,,
59,영상ㆍ오디오 기록물 제작 및 배급업,영상ㆍ오디오 기록물 제작 및 배급업,영상ㆍ오디오 기록물 제작 및 배급업,middle,2,False,J,5,59.0,,,,정보통신업,영상ㆍ오디오 기록물 제작 및 배급업,,,,정보통신업,5/59, / 영상ㆍ오디오 기록물 제작 및 배급업,IT_TECH,정보통신업 (IT),False,True,context_group,False,,,,,,,,,,,,,,,
60,방송 및 영상ㆍ오디오물 제공 서비스업,방송 및 영상ㆍ오디오물 제공 서비스업,방송 및 영상ㆍ오디오물 제공 서비스업,middle,2,False,J,6,60.0,,,,정보통신업,방송 및 영상ㆍ오디오물 제공 서비스업,,,,정보통신업,6/60, / 방송 및 영상ㆍ오디오물 제공 서비스업,IT_TECH,정보통신업 (IT),False,True,context_group,False,,,,,,,,,,,,,,,
61,우편 및 통신업,우편 및 통신업,우편 및 통신업,middle,2,False,J,6,61.0,,,,정보통신업,우편 및 통신업,,,,정보통신업,6/61, / 우편 및 통신업,IT_TECH,정보통신업 (IT),False,True,context_group,False,,,,,,,,,,,,,,,
62,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리업",middle,2,False,J,6,62.0,,,,정보통신업,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",,,,정보통신업,6/62," / 컴퓨터 프로그래밍, 시스템 통합 및 관리업",IT_TECH,정보통신업 (IT),False,True,context_group,False,,,,,,,,,,,,,,,
63,정보서비스업,정보서비스업,정보서비스업,middle,2,False,J,6,63.0,,,,정보통신업,정보서비스업,,,,정보통신업,6/63, / 정보서비스업,IT_TECH,정보통신업 (IT),False,True,context_group,False,,,,,,,,,,,,,,,
64,금융업,금융업,금융업,middle,2,False,K,6,64.0,,,,금융 및 보험업,금융업,,,,금융 및 보험업,6/64, / 금융업,FINANCE,금융·보험업,False,True,context_group,False,,,,,,,,,,,,,,,
65,보험업,보험업,보험업,middle,2,False,K,6,65.0,,,,금융 및 보험업,보험업,,,,금융 및 보험업,6/65, / 보험업,FINANCE,금융·보험업,False,True,context_group,False,,,,,,,,,,,,,,,
66,금융 및 보험관련 서비스업,금융 및 보험관련 서비스업,금융 및 보험관련 서비스업,middle,2,False,K,6,66.0,,,,금융 및 보험업,금융 및 보험관련 서비스업,,,,금융 및 보험업,6/66, / 금융 및 보험관련 서비스업,FINANCE,금융·보험업,False,True,context_group,False,,,,,,,,,,,,,,,
